"target_id"	"length"	"eff_length"	"est_counts"	"tpm"
"812"	"ENSMUST00000006911.11"	2053	1943.87	2839.02	90.2792
"991"	"ENSMUST00000001836.10"	2572	2462.87	1300.14	32.6312
"1188"	"ENSMUST00000015236.3"	722	613.069	1431.35	144.319
"1193"	"ENSMUST00000018905.11"	1321	1211.87	1708.87	87.164
"1460"	"ENSMUST00000008594.8"	948	838.872	2938.44	216.524
"2167"	"ENSMUST00000020449.11"	4554	4444.87	1711.04	23.795
"3006"	"ENSMUST00000003386.6"	1288	1178.87	1199.37	62.8887
"3290"	"ENSMUST00000017288.8"	2828	2718.87	945.782	21.5025
"3293"	"ENSMUST00000017783.12"	7156	7046.87	1991.23	17.4667
"3811"	"ENSMUST00000020484.7"	3325	3215.87	3454.25	66.3959
"3852"	"ENSMUST00000004786.9"	1148	1038.87	3457.83	205.744
"4103"	"ENSMUST00000016081.12"	2046	1936.87	5637.03	179.902
"4126"	"ENSMUST00000020081.10"	1834	1724.87	2566.67	91.9812
"4563"	"ENSMUST00000019135.13"	3816	3706.87	1227.2	20.4642
"4604"	"ENSMUST00000019441.8"	3694	3584.87	951.772	16.4114
"4628"	"ENSMUST00000022522.14"	1881	1771.87	6002.13	209.392
"4736"	"ENSMUST00000007130.14"	3623	3513.87	8963.35	157.678
"4858"	"ENSMUST00000018212.12"	5906	5796.87	2006.56	21.3966
"4915"	"ENSMUST00000006973.11"	3043	2933.87	1203.61	25.359
"4917"	"ENSMUST00000013773.11"	7137	7027.87	4591.3	40.3829
"5248"	"ENSMUST00000010007.8"	1142	1032.87	2278.87	136.383
"5499"	"ENSMUST00000019962.14"	2922	2812.87	5137.2	112.892
"6576"	"ENSMUST00000018572.10"	3758	3648.87	3983.06	67.4752
"6638"	"ENSMUST00000008907.13"	7969	7859.87	1152.15	9.06109
"6748"	"ENSMUST00000020203.6"	861	751.998	1366.31	112.31
"7615"	"ENSMUST00000021933.7"	1971	1861.87	4789.92	159.025
"7706"	"ENSMUST00000004684.12"	5271	5161.87	1719.91	20.596
"7772"	"ENSMUST00000023128.7"	4382	4272.87	1814.85	26.2547
"7805"	"ENSMUST00000021368.9"	4732	4622.87	1276.53	17.0689
"7840"	"ENSMUST00000017065.14"	1666	1556.87	668.13	26.5274
"7855"	"ENSMUST00000018430.6"	798	689.035	2960.64	265.602
